SHAPE	White(Generic)	Blue	Green	Yellow	Orange	Pink	Purple	Light Blue	Brown	Red
Filled Circle	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image004.svg | Hexose	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image005.svg | Glc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image006.svg | Man	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image007.svg | Gal	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image008.svg | Gul	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image009.svg | Alt	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image010.svg | All	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image011.svg | Tal	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image012.svg | Ido	
Filled Square	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image013.svg | HexNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image014.svg | GlcNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image015.svg | ManNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image016.svg | GalNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image017.svg | GulNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image018.svg | AltNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image019.svg | AllNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image020.svg | TalNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image021.svg | IdoNAc	
Crossed Square	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image022.svg | Hexosamine	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image023.svg | GlcN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image024.svg | ManN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image025.svg | GalN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image026.svg | GulN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image027.svg | AltN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image028.svg | AllN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image029.svg | TalN	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image030.svg | IdoN	
Divided Diamond	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image031.svg | Hexuronate	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image032.svg | GlcA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image033.svg | ManA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image034.svg | GalA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image035.svg | GulA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image036.svg | AltA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image037.svg | AllA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image038.svg | TalA	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image039.svg | IdoA	
Filled Triangle	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image040.svg | Deoxyhexose	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image041.svg | Qui	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image042.svg | Rha		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image043.svg | 6dGul	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image044.svg | 6dAlt		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image045.svg | 6dTal		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image046.svg | Fuc
Divided Triangle	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image047.svg | DeoxyhexNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image048.svg | QuiNAc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image049.svg | RhaNAc			https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image050.svg | 6dAltNAc		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image051.svg | 6dTalNAc		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image052.svg | FucNAc
Flat Rectangle	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image053.svg | Di-deoxyhexose	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image054.svg | Oli	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image055.svg | Tyv		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image056.svg | Abe	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image057.svg | Par	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image058.svg | Dig	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image059.svg | Col		
Filled Star	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image060.svg | Pentose		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image061.svg | Ara	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image062.svg | Lyx	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image063.svg | Xyl	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image064.svg | Rib				
Filled Diamond	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image065.svg | 3-deoxy-nonulosonic acids		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image066.svg | Kdn				https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image067.svg | Neu5Ac	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image068.svg | Neu5Gc	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image069.svg | Neu	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image070.svg | Sia 
Flat Diamond	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image071.svg | 3,9-dideoxy-nonulosonic acids		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image072.svg | Pse	https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image073.svg | Leg		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image074.svg | Aci		https://www.ncbi.nlm.nih.gov/glycans/images/symbolnomenclature-Image075.svg | 4eLeg		
