Abbreviation	Short Name	Systematic name	CID	InChIKey	SMILES	SID
4eLeg	4-epi-Legionaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-D-talo-non-2-ulopyranosonic acid	126961780	ZFZFJUIKYIVPNP-HFIPJBPGSA-N	C[C@H]([C@H]([C@H]1[C@@H]([C@@H](C[C@](O1)(C(=O)O)O)O)N)N)O	252089092
6dAlt	6-Deoxy-L-altrose	6-Deoxy-L-altropyranose	12302958	SHZGCJCMOBCMKK-VSOAQEOCSA-N	C[C@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O	252300980
6dAltNAc	N-Acetyl-6-deoxy-L-altrosamine	2-Acetamido-2,6-dideoxy-L-altropyranose	126961777	XOCCAGJZGBCJME-QALBOBFASA-N	C[C@H]1[C@@H]([C@@H]([C@H](C(O1)O)NC(=O)C)O)O	336286661
6dGul	6-Deoxy-D-gulose	6-Deoxy-D-gulopyranose	12302960	SHZGCJCMOBCMKK-CBPJZXOFSA-N	C[C@@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O	336286660
6dTal	6-Deoxy-D-talose	6-Deoxy-D-talopyranose	44119431	SHZGCJCMOBCMKK-WHZQZERISA-N	C[C@@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O	252301016
6dTalNAc	N-Acetyl-6-deoxy-D-talosamine	2-Acetamido-2,6-dideoxy-D-talopyranose	126961778	XOCCAGJZGBCJME-SUVUXTLLSA-N	C[C@@H]1[C@@H]([C@@H]([C@@H](C(O1)O)NC(=O)C)O)O	336286662
8eAci	8-epi-Acinetaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-L-altro-non-2-ulopyranosonic acid	168009119	ZFZFJUIKYIVPNP-DUTNRDNDSA-N	C[C@H]([C@@H]([C@H]1[C@@H]([C@H](C[C@](O1)(C(=O)O)O)O)N)N)O	480493268
8eLeg	8-epi-Legionaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulopyranosonic acid	168009112	ZFZFJUIKYIVPNP-UMDIDJOMSA-N	C[C@@H]([C@H]([C@H]1[C@@H]([C@H](C[C@](O1)(C(=O)O)O)O)N)N)O	252090150
Abe	Abequose	3,6-Dideoxy-D-xylo-hexopyranose	160540	KYPWIZMAJMNPMJ-JDJSBBGDSA-N	C[C@@H]1[C@@H](C[C@H](C(O1)O)O)O	252091216
Aci	Acinetaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-L-altro-non-2-ulopyranosonic acid	126961779	ZFZFJUIKYIVPNP-ZDMURPDRSA-N	C[C@@H]([C@@H]([C@H]1[C@@H]([C@H](C[C@](O1)(C(=O)O)O)O)N)N)O	252089094
